,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you work in?,Do you work remotely?
175,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,Yes,No,Yes,1,Never,Sometimes,50,Male,United States of America,Sometimes
176,I don't know,I am not sure,No,No,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Rarely,31,Male,United States of America,Sometimes
177,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Yes,No,Yes,1,Sometimes,Often,47,Male,United States of America,Never
178,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,I don't know,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Sometimes
179,Yes,I am not sure,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,"Yes, I experienced",N/A,I don't know,Yes,Yes,Yes,1,Rarely,Often,38,Female,United States of America,Sometimes
180,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,Some of my previous employers,"No, I don't think it would",Maybe,Somewhat not open,"Yes, I observed",Maybe,Yes,Maybe,Maybe,No,0,Rarely,Often,40,Male,United States of America,Always
181,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,,"No, it has not","No, they do not",Somewhat open,N/A,,No,Yes,Yes,Yes,1,Sometimes,Often,25,Female,United States of America,Sometimes
182,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, they do not",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,0,Rarely,Often,29,Female,United States of America,Sometimes
183,,,,,,,,,,,,,,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,25,Male,United States of America,Sometimes
184,No,Yes,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,No,Yes,Yes,Yes,1,Sometimes,Often,43,Male,United States of America,Sometimes
185,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,31,Female,United States of America,Always
186,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,Yes,No,No,I don't know,"Yes, it has",Maybe,Somewhat not open,"Yes, I experienced",Yes,I don't know,Yes,Yes,Yes,1,Never,Sometimes,45,Female,United States of America,Always
187,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,United States of America,Never
188,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Somewhat open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Female,United States of America,Sometimes
189,Yes,I am not sure,No,No,I don't know,Very easy,Maybe,No,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Rarely,Often,28,Male,United States of America,Sometimes
190,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,"No, at none of my previous employers",Maybe,"Yes, I think they would",Neutral,No,,No,No,Maybe,No,0,Not applicable to me,Often,36,Male,United States of America,Always
191,Yes,I am not sure,No,I don't know,No,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,"Yes, it has",Maybe,Somewhat open,"Yes, I observed",Maybe,I don't know,Maybe,No,No,1,Sometimes,Sometimes,51,Male,United States of America,Never
192,,,,,,,,,,,,,"No, at none of my previous employers",Maybe,Maybe,Not open at all,No,,Yes,Yes,Yes,No,1,Not applicable to me,Sometimes,36,Male,United States of America,Sometimes
193,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat difficult,No,No,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,28,Male,United States of America,Sometimes
194,I don't know,No,No,Yes,Yes,I don't know,Yes,Maybe,No,No,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,40,Male,United States of America,Always
195,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers",Maybe,Maybe,Very open,Maybe/Not sure,No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,35,Female,United States of America,Sometimes
196,Yes,Yes,No,No,I don't know,Somewhat difficult,Yes,No,No,No,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,N/A,Yes,Yes,Yes,Yes,1,Rarely,Often,38,Male,United States of America,Never
197,Yes,I am not sure,No,No,I don't know,I don't know,Yes,Maybe,No,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Yes,Yes,Maybe,No,1,Sometimes,Often,29,Male,United States of America,Always
198,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Very open,"Yes, I observed",N/A,Yes,Yes,Yes,Yes,1,Rarely,Often,31,Female,United States of America,Always
199,No,No,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Maybe,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,45,Male,United States of America,Sometimes
200,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Maybe,No,No,"No, at none of my previous employers","No, it has not","No, they do not",Somewhat open,No,,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,26,Male,United States of America,Sometimes
201,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers",Maybe,"No, I don't think they would",Very open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,42,Male,United States of America,Always
202,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat not open,Maybe/Not sure,N/A,No,Yes,No,No,0,Not applicable to me,Not applicable to me,28,Female,United States of America,Always
203,Yes,No,Yes,Yes,I don't know,I don't know,Maybe,Yes,Yes,Maybe,Yes,No,"No, at none of my previous employers",Maybe,Maybe,Very open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,39,Female,United States of America,Sometimes
204,Yes,I am not sure,No,No,Yes,Somewhat easy,Maybe,Maybe,Maybe,Maybe,Yes,No,Some of my previous employers,"No, it has not",Maybe,Very open,No,,No,Yes,No,Yes,1,Rarely,Rarely,34,Male,United States of America,Sometimes
205,I don't know,No,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",N/A,Yes,Yes,Yes,Yes,1,Sometimes,Often,28,Female,United States of America,Always
206,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,Yes,Yes,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,35,Female,United States of America,Sometimes
207,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Yes,Maybe,Maybe,Maybe,No,No,Some of my previous employers,"Yes, it has","Yes, they do",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,28,Female,United States of America,Sometimes
208,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,26,Female,United States of America,Always
209,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Very open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,33,Male,United States of America,Sometimes
210,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,No,1,Rarely,Sometimes,28,Female,United States of America,Sometimes
211,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,32,Male,United States of America,Sometimes
212,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,No,No,No,Some of my previous employers,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,N/A,Yes,Yes,Maybe,Yes,1,Sometimes,Often,35,Male,United States of America,Always
213,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,No,No,No,No,0,Sometimes,Not applicable to me,41,Male,United States of America,Sometimes
214,,,,,,,,,,,,,"No, at none of my previous employers",Maybe,"Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Maybe,Yes,No,No,No,1,Not applicable to me,Not applicable to me,38,Female,United States of America,Always
215,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,Yes,Maybe,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,24,Female,United States of America,Sometimes
216,Yes,Yes,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,Some of my previous employers,"No, it has not",Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,30,Male,United States of America,Sometimes
217,Yes,Yes,I don't know,Yes,Yes,I don't know,Yes,Yes,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,No,No,No,No,0,Never,Often,47,Female,United States of America,Sometimes
218,Yes,I am not sure,I don't know,Yes,Yes,Somewhat easy,Maybe,No,No,No,I don't know,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,26,Female,United States of America,Never
219,Yes,Yes,No,I don't know,I don't know,Somewhat easy,No,No,No,Yes,Yes,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat not open,No,,I don't know,Yes,Yes,Yes,1,Sometimes,Often,32,Male,United States of America,Always
220,I don't know,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,I don't know,Yes,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Yes,No,Maybe,No,0,Sometimes,Sometimes,32,Male,United States of America,Sometimes
221,I don't know,No,I don't know,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, it has not","No, they do not",Very open,No,,I don't know,Yes,Yes,Yes,1,Not applicable to me,Often,37,Male,United States of America,Always
222,I don't know,I am not sure,Yes,Yes,I don't know,Somewhat easy,No,Maybe,Maybe,Maybe,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,No,1,Never,Rarely,30,Male,United States of America,Sometimes
223,,,,,,,,,,,,,Some of my previous employers,"No, it has not",Maybe,Neutral,"Yes, I observed",No,Yes,Maybe,No,Yes,1,Sometimes,Often,42,Female,United States of America,Always
224,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers","Yes, I think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,Maybe,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,United States of America,Never
225,Yes,Yes,No,No,Yes,Very easy,Maybe,No,No,Yes,Yes,No,Some of my previous employers,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",No,No,Maybe,Maybe,Yes,1,Rarely,Often,32,Male,United States of America,Sometimes
226,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),N/A,,Yes,Yes,No,Yes,1,Rarely,Sometimes,31,Female,United States of America,Always
227,I don't know,No,Yes,No,I don't know,Very easy,Yes,Maybe,Maybe,Maybe,Yes,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Never,Often,31,Male,United States of America,Always
228,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,I don't know,No,Maybe,No,0,Sometimes,Sometimes,30,Male,United States of America,Sometimes
229,Yes,Yes,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,No,No,"Yes, at all of my previous employers","Yes, I think it would",Maybe,Neutral,Maybe/Not sure,N/A,Yes,Yes,Yes,Yes,1,Rarely,Often,36,Male,United States of America,Sometimes
230,Yes,No,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",N/A,Yes,Yes,No,Yes,1,Not applicable to me,Not applicable to me,38,Male,United States of America,Always
231,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Maybe,I don't know,No,,Maybe,"No, I don't think they would",Somewhat open,No,,No,No,Yes,Yes,1,Never,Often,24,Male,United States of America,Sometimes
232,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,No,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Neutral,No,,I don't know,Yes,Yes,No,0,Never,Rarely,26,Male,United States of America,Sometimes
233,Yes,I am not sure,Yes,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,37,Male,United States of America,Never
234,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,No,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,23,Female,United States of America,Never
235,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,Yes,Yes,No,Yes,1,Rarely,Sometimes,30,Male,United States of America,Sometimes
236,Yes,No,I don't know,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,0,Not applicable to me,Sometimes,40,Male,United States of America,Sometimes
237,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Not open at all,"Yes, I observed",Yes,I don't know,Maybe,Maybe,Yes,1,Sometimes,Sometimes,46,Male,United States of America,Sometimes
238,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Yes,Yes,I don't know,No,"Yes, at all of my previous employers",Maybe,"No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,26,Male,United States of America,Sometimes
239,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,No,No,No,I don't know,No,I don't know,"Yes, I think it would",Maybe,Neutral,Maybe/Not sure,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Sometimes
240,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,35,Male,United States of America,Always
241,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,No,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,26,Female,United States of America,Sometimes
242,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,No,No,0,Not applicable to me,Often,27,Male,United States of America,Sometimes
243,Yes,No,No,I don't know,Yes,Neither easy nor difficult,Maybe,Maybe,Yes,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I experienced",Yes,Yes,Maybe,Maybe,No,1,Sometimes,Sometimes,44,Male,United States of America,Always
244,Yes,No,I don't know,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,N/A,No,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,Sometimes
245,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Very open,No,,Yes,Yes,Yes,Yes,1,Never,Sometimes,57,Female,United States of America,Sometimes
246,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,38,Male,United States of America,Sometimes
247,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, I don't think they would",Neutral,Maybe/Not sure,N/A,I don't know,Yes,Maybe,Yes,1,Not applicable to me,Often,55,Male,United States of America,Always
248,I don't know,I am not sure,No,No,No,Neither easy nor difficult,Yes,No,No,Maybe,I don't know,No,I don't know,Maybe,"Yes, I think they would",Very open,"Yes, I observed",Yes,I don't know,Maybe,Maybe,No,1,Often,Sometimes,35,Male,United States of America,Never
249,Yes,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,Yes,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,I don't know,Yes,Yes,Yes,1,Often,Often,26,Male,United States of America,Always
250,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,I don't know,Maybe,"No, I don't think they would",Somewhat open,No,,No,No,Maybe,No,0,Not applicable to me,Not applicable to me,22,Female,United States of America,Never
251,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Neutral,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,United States of America,Sometimes
252,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Yes,No,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,N/A,No,No,Yes,Yes,1,Sometimes,Sometimes,26,Male,United States of America,Sometimes
253,No,N/A,No,No,No,Very difficult,Yes,No,No,No,I don't know,No,Some of my previous employers,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I experienced",N/A,Yes,Yes,Yes,No,1,Sometimes,Sometimes,36,Male,United States of America,Sometimes
254,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, they do not",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,33,Male,United States of America,Sometimes
255,Yes,I am not sure,Yes,No,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,,"No, I don't think it would","No, they do not",Somewhat not open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,24,Female,United States of America,Sometimes
256,Yes,Yes,No,Yes,I don't know,Somewhat difficult,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Maybe,Yes,1,Rarely,Rarely,33,Male,United States of America,Always
257,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,No,Yes,Yes,Yes,1,Rarely,Sometimes,37,Female,United States of America,Sometimes
258,Yes,I am not sure,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,No,Yes,Maybe,No,0,Rarely,Sometimes,29,Male,United States of America,Always
259,Not eligible for coverage / N/A,N/A,Yes,No,Yes,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,,I don't know,Maybe,No,No,1,Not applicable to me,Not applicable to me,38,Male,United States of America,Sometimes
260,No,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,N/A,Yes,Maybe,Maybe,No,0,Sometimes,Not applicable to me,33,Male,United States of America,Sometimes
261,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Very open,No,,Yes,Yes,Yes,Yes,1,Never,Sometimes,23,Male,United States of America,Sometimes
262,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Sometimes
263,I don't know,No,No,No,I don't know,Very difficult,Yes,No,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Very open,"Yes, I observed",Yes,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,30,Male,United States of America,Never
264,Yes,No,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,No,,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,28,Male,United States of America,Sometimes
265,Yes,Yes,No,No,No,Somewhat easy,No,No,Maybe,Maybe,No,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Somewhat not open,Maybe/Not sure,Maybe,I don't know,Maybe,Maybe,No,0,Not applicable to me,Often,39,Male,United States of America,Never
266,No,No,No,No,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,Yes,Yes,Yes,Yes,1,Never,Sometimes,24,Female,United States of America,Never
267,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,35,Male,United States of America,Sometimes
268,No,No,No,I don't know,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,I don't know,Maybe,Maybe,Neutral,No,,Yes,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,23,Male,United States of America,Never
269,Yes,I am not sure,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,United States of America,Sometimes
270,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Neutral,N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Sometimes
271,Yes,Yes,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Maybe,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Neutral,Maybe/Not sure,No,I don't know,Maybe,Maybe,No,0,Sometimes,Sometimes,27,Male,United States of America,Sometimes
272,I don't know,I am not sure,No,No,I don't know,Very easy,No,No,Maybe,Maybe,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat not open,No,,Yes,Maybe,Maybe,No,0,Rarely,Sometimes,27,Female,United States of America,Always
273,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,Some of my previous employers,Maybe,"Yes, I think they would",Neutral,No,,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,27,Female,United States of America,Never
274,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,42,Male,United States of America,Sometimes
275,Yes,I am not sure,No,No,Yes,Somewhat difficult,Maybe,Maybe,No,Maybe,No,No,"No, at none of my previous employers",Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,32,Male,United States of America,Never
276,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,United States of America,Sometimes
277,Yes,No,No,Yes,Yes,I don't know,Maybe,No,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Somewhat open,No,,Yes,Yes,No,Yes,1,Rarely,Sometimes,32,Male,United States of America,Sometimes
278,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Very open,No,,I don't know,Yes,Yes,No,0,Not applicable to me,Sometimes,43,Male,United States of America,Always
